track_name,latitude,longitude,color
CT,37.3548503,-107.9390734,#00AA00
CT,37.3548124,-107.9391556,#00AA00
CT,37.3547918,-107.9392573,#00AA00
CT,37.3547092,-107.9393894,#00AA00
CT,37.3546145,-107.9394608,#00AA00
CT,37.3544339,-107.9395669,#00AA00
CT,37.3543461,-107.9396405,#00AA00
CT,37.3542739,-107.9397725,#00AA00
CT,37.3542171,-107.9398851,#00AA00
CT,37.3541637,-107.9399435,#00AA00
CT,37.3541173,-107.9400864,#00AA00
CT,37.3540863,-107.9401816,#00AA00
CT,37.3540416,-107.9403093,#00AA00
CT,37.3540364,-107.9404067,#00AA00
CT,37.3540691,-107.940463,#00AA00
CT,37.3540691,-107.940528,#00AA00
CT,37.3540846,-107.940608,#00AA00
CT,37.3541224,-107.9406816,#00AA00
CT,37.354236,-107.9407596,#00AA00
CT,37.3543134,-107.9407964,#00AA00
CT,37.3543496,-107.9408332,#00AA00
CT,37.3544046,-107.9409068,#00AA00
CT,37.3544562,-107.9409868,#00AA00
CT,37.3545096,-107.9410366,#00AA00
CT,37.3545818,-107.9411319,#00AA00
CT,37.3546662,-107.941199,#00AA00
CT,37.3547229,-107.9412985,#00AA00
CT,37.3547522,-107.9413483,#00AA00
CT,37.3547969,-107.9414284,#00AA00
CT,37.3548296,-107.9414825,#00AA00
CT,37.3548485,-107.9415345,#00AA00
CT,37.3548847,-107.9416254,#00AA00
CT,37.3549518,-107.9416903,#00AA00
CT,37.3550275,-107.9417336,#00AA00
CT,37.3550533,-107.9417574,#00AA00
CT,37.355055,-107.941818,#00AA00
CT,37.3550498,-107.941909,#00AA00
CT,37.3550636,-107.9419717,#00AA00
